"ntime_zone","lon","lat","geoAddress"
"Paris",2.3522219,48.856614,"paris, france"
"Athens",NA,NA,"NA"
"Amsterdam",4.8951679,52.3702157,"amsterdam, netherlands"
"Beijing",116.4073963,39.9041999,"beijing, china"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Athens",23.7275388,37.9838096,"athens, greece"
"London",-0.1277583,51.5073509,"london, uk"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Lima",NA,NA,"NA"
"London",-0.1277583,51.5073509,"london, uk"
"Bogota",-74.072092,4.7109886,"bogotá, bogota, colombia"
"Madrid",-3.7037902,40.4167754,"madrid, spain"
"London",-0.1277583,51.5073509,"london, uk"
"Greenland",NA,NA,"NA"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Istanbul",28.9783589,41.0082376,"istanbul, turkey"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Quito",NA,NA,"NA"
"Quito",NA,NA,"NA"
"Brasilia",NA,NA,"NA"
"Prague",NA,NA,"NA"
"Warsaw",21.0122287,52.2296756,"warsaw, poland"
"Tokyo",NA,NA,"NA"
"Greenland",NA,NA,"NA"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Central Time (US & Canada)",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Pacific Time (US & Canada)",NA,NA,"NA"
"Kuala Lumpur",101.686855,3.139003,"kuala lumpur, federal territory of kuala lumpur, malaysia"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Istanbul",NA,NA,"NA"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Paris",2.3522219,48.856614,"paris, france"
"Brasilia",NA,NA,"NA"
"Amsterdam",4.8951679,52.3702157,"amsterdam, netherlands"
"Paris",2.3522219,48.856614,"paris, france"
"Brasilia",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Helsinki",24.9383791,60.1698557,"helsinki, finland"
"Kuala Lumpur",NA,NA,"NA"
"Cairo",31.2357116,30.0444196,"cairo, cairo governorate, egypt"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Buenos Aires",-58.3815591,-34.6036844,"buenos aires, argentina"
"Athens",NA,NA,"NA"
"Atlantic Time (Canada)",NA,NA,"NA"
"Paris",NA,NA,"NA"
"Greenland",-42.604303,71.706936,"greenland"
"Jakarta",NA,NA,"NA"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Mid-Atlantic",NA,NA,"NA"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Santiago",NA,NA,"NA"
"London",NA,NA,"NA"
"Athens",23.7275388,37.9838096,"athens, greece"
"Greenland",-42.604303,71.706936,"greenland"
"Hawaii",-155.5827818,19.8967662,"hawaii, usa"
"Athens",NA,NA,"NA"
"Casablanca",-7.5898434,33.5731104,"casablanca, morocco"
"London",-0.1277583,51.5073509,"london, uk"
"Hawaii",NA,NA,"NA"
"Santiago",NA,NA,"NA"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Buenos Aires",-58.3815591,-34.6036844,"buenos aires, argentina"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Greenland",-42.604303,71.706936,"greenland"
"London",NA,NA,"NA"
"London",-0.1277583,51.5073509,"london, uk"
"Athens",NA,NA,"NA"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Amsterdam",NA,NA,"NA"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Caracas",-66.9036063,10.4805937,"caracas, capital district, venezuela"
"Central Time (US & Canada)",NA,NA,"NA"
"Eastern Time (US & Canada)",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Quito",NA,NA,"NA"
"Edinburgh",NA,NA,"NA"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Tokyo",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Greenland",NA,NA,"NA"
"Cairo",31.2357116,30.0444196,"cairo, cairo governorate, egypt"
"Madrid",-3.7037902,40.4167754,"madrid, spain"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Athens",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Santiago",-70.6692655,-33.4488897,"santiago, santiago metropolitan region, chile"
"Santiago",NA,NA,"NA"
"Buenos Aires",NA,NA,"NA"
"Athens",NA,NA,"NA"
"Jakarta",NA,NA,"NA"
"Madrid",-3.7037902,40.4167754,"madrid, spain"
"London",NA,NA,"NA"
"Hawaii",NA,NA,"NA"
"Paris",2.3522219,48.856614,"paris, france"
"Paris",2.3522219,48.856614,"paris, france"
"Central Time (US & Canada)",NA,NA,"NA"
"Quito",NA,NA,"NA"
"Central America",NA,NA,"NA"
"Athens",NA,NA,"NA"
"Greenland",-42.604303,71.706936,"greenland"
"Eastern Time (US & Canada)",NA,NA,"NA"
"Alaska",NA,NA,"NA"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"London",-0.1277583,51.5073509,"london, uk"
"Arizona",-111.0937311,34.0489281,"arizona, usa"
"Pacific Time (US & Canada)",NA,NA,"NA"
"Amsterdam",4.8951679,52.3702157,"amsterdam, netherlands"
"Amsterdam",4.8951679,52.3702157,"amsterdam, netherlands"
"Mountain Time (US & Canada)",-106.0452985,39.4768564,"505 s main st b2b, breckenridge, co 80424, usa"
"Mountain Time (US & Canada)",-106.0452985,39.4768564,"505 s main st b2b, breckenridge, co 80424, usa"
"Central Time (US & Canada)",NA,NA,"NA"
"Mountain Time (US & Canada)",-106.0452985,39.4768564,"505 s main st b2b, breckenridge, co 80424, usa"
"Quito",NA,NA,"NA"
"Athens",23.7275388,37.9838096,"athens, greece"
"Central America",-85.6023643,12.7690126,"central america"
"Central Time (US & Canada)",NA,NA,"NA"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Edinburgh",-3.188267,55.953252,"edinburgh, uk"
"Arizona",-111.0937311,34.0489281,"arizona, usa"
"Athens",23.7275388,37.9838096,"athens, greece"
"Quito",NA,NA,"NA"
"Santiago",NA,NA,"NA"
"Buenos Aires",NA,NA,"NA"
"Jakarta",NA,NA,"NA"
"Bogota",-74.072092,4.7109886,"bogotá, bogota, colombia"
"Athens",NA,NA,"NA"
"Atlantic Time (Canada)",NA,NA,"NA"
"Paris",NA,NA,"NA"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Eastern Time (US & Canada)",NA,NA,"NA"
"Amsterdam",NA,NA,"NA"
"Athens",NA,NA,"NA"
"London",NA,NA,"NA"
"Helsinki",24.9383791,60.1698557,"helsinki, finland"
"Central Time (US & Canada)",NA,NA,"NA"
"London",NA,NA,"NA"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Greenland",NA,NA,"NA"
"Madrid",-3.7037902,40.4167754,"madrid, spain"
"Athens",NA,NA,"NA"
"Santiago",-70.6692655,-33.4488897,"santiago, santiago metropolitan region, chile"
"Athens",NA,NA,"NA"
"London",-0.1277583,51.5073509,"london, uk"
"Quito",NA,NA,"NA"
"Greenland",NA,NA,"NA"
"Lisbon",NA,NA,"NA"
"Greenland",-42.604303,71.706936,"greenland"
"Paris",2.3522219,48.856614,"paris, france"
"Greenland",NA,NA,"NA"
"Arizona",NA,NA,"NA"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Hawaii",-155.5827818,19.8967662,"hawaii, usa"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Perth",NA,NA,"NA"
"Mexico City",NA,NA,"NA"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Eastern Time (US & Canada)",NA,NA,"NA"
"Kuala Lumpur",101.686855,3.139003,"kuala lumpur, federal territory of kuala lumpur, malaysia"
"Bogota",-74.072092,4.7109886,"bogotá, bogota, colombia"
"Berlin",13.404954,52.5200066,"berlin, germany"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
"Mountain Time (US & Canada)",-106.0452985,39.4768564,"505 s main st b2b, breckenridge, co 80424, usa"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Tokyo",139.6917064,35.6894875,"tokyo, japan"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Rome",12.4963655,41.9027835,"rome, metropolitan city of rome, italy"
"Amsterdam",4.8951679,52.3702157,"amsterdam, netherlands"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Abu Dhabi",54.3773438,24.453884,"abu dhabi - united arab emirates"
"Paris",2.3522219,48.856614,"paris, france"
"Pacific Time (US & Canada)",-117.9181087,33.6414429,"1836 newport blvd # b, costa mesa, ca 92627, usa"
"Baghdad",44.3614875,33.3128057,"baghdad, iraq"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Brasilia",NA,NA,"NA"
"Eastern Time (US & Canada)",-75.1625129,39.950037,"1315 sansom st, philadelphia, pa 19107, usa"
"Central America",-85.6023643,12.7690126,"central america"
"Mexico City",-99.133208,19.4326077,"mexico city, cdmx, mexico"
"London",NA,NA,"NA"
"Baghdad",NA,NA,"NA"
"London",NA,NA,"NA"
"London",-0.1277583,51.5073509,"london, uk"
"Casablanca",-7.5898434,33.5731104,"casablanca, morocco"
"Stockholm",18.0685808,59.3293235,"stockholm, sweden"
"Eastern Time (US & Canada)",NA,NA,"NA"
"Mountain Time (US & Canada)",-106.0452985,39.4768564,"505 s main st b2b, breckenridge, co 80424, usa"
"Brussels",4.3517211,50.8503463,"brussels, belgium"
"Buenos Aires",-58.3815591,-34.6036844,"buenos aires, argentina"
"London",-0.1277583,51.5073509,"london, uk"
"Pacific Time (US & Canada)",NA,NA,"NA"
"Brasilia",-47.8821658,-15.7942287,"brasília - brasilia, federal district, brazil"
"Istanbul",28.9783589,41.0082376,"istanbul, turkey"
"Atlantic Time (Canada)",-79.421133,43.6383714,"60 atlantic ave suite 200, toronto, on m6k 1x9, canada"
"Brasilia",NA,NA,"NA"
"Quito",-78.4678382,-0.1806532,"quito, ecuador"
"Greenland",-42.604303,71.706936,"greenland"
"Madrid",NA,NA,"NA"
"Jakarta",NA,NA,"NA"
"Atlantic Time (Canada)",NA,NA,"NA"
"Alaska",-149.4936733,64.2008413,"alaska, usa"
"Central Time (US & Canada)",-73.9554778,40.7430884,"5-23 50th ave, long island city, ny 11101, usa"
